,education,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Doctorado,5.0,6.0,4.0,12.0,8.0
1,Especialización,0.0,0.0,0.0,4.0,4.0
2,Especialización;Maestría,0.0,0.0,0.0,1.0,0.0
3,Estudiante de Doctorado,0.0,0.0,0.0,0.0,1.0
4,Estudiante de licenciatura,3.0,2.0,1.0,0.0,3.0
5,Licenciado,5.0,1.0,0.0,10.0,3.0
6,Licenciado;Doctorado en curso,0.0,0.0,0.0,1.0,0.0
7,Licenciado;En proceso de tesis de maestría,0.0,0.0,1.0,0.0,0.0
8,Licenciado;Especialización;Maestría,0.0,1.0,0.0,1.0,1.0
9,Licenciado;estudiante de doctorado,0.0,1.0,0.0,0.0,0.0
10,Maestría,6.0,0.0,1.0,1.0,2.0
11,Postdoctorado,0.0,0.0,0.0,1.0,0.0
