,education,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Doctorado,7.0,12.0,13.0,3.0,0.0
1,Especialización,4.0,0.0,4.0,1.0,0.0
2,Especialización;Maestría,0.0,0.0,1.0,0.0,0.0
3,Estudiante de Doctorado,1.0,0.0,0.0,0.0,0.0
4,Estudiante de licenciatura,2.0,1.0,6.0,0.0,1.0
5,Licenciado,1.0,9.0,8.0,1.0,1.0
6,Licenciado;Doctorado en curso,0.0,0.0,1.0,0.0,0.0
7,Licenciado;En proceso de tesis de maestría,0.0,1.0,0.0,0.0,0.0
8,Licenciado;Especialización;Maestría,2.0,0.0,1.0,0.0,0.0
9,Licenciado;estudiante de doctorado,0.0,1.0,0.0,0.0,0.0
10,Maestría,3.0,6.0,2.0,0.0,0.0
11,Postdoctorado,1.0,0.0,0.0,0.0,0.0
